lemma_slp1	n_ambiguous_forms	sample
A	1	dcs:A~as(VERB,22)
ABAvi	2	vidyut:ABAva~ABA(noun,6);vidyut:ABAva~ABA(verb,2)
ABAz	1	vidyut:ABAzyamARa~ABAzi(noun,2)
ABa	3	dcs:ABA~ABA(NOUN,8);dcs:ABAH~ABA(NOUN,3);dcs:ABam~ABA(NOUN,1)
ABaj	2	vidyut:ABAga~ABAji(noun,2);vidyut:ABAgena~ABAji(noun,2)
ABf	2	dcs:ABara~ABara(NOUN,1);vidyut:ABaranti~ABf(verb,1)
ABra	1	vidyut:ABram~aBr(verb,1)
ABu	1	vidyut:ABU~ABU(noun,3)
ADA	1	dcs:ADeya~ADeya(NOUN,7)
ADarzi	3	vidyut:ADarzayan~ADfz(noun,2);vidyut:ADarzayan~ADarzi(verb,2);vidyut:ADarzayan~ADfz(verb,1)
ADitA	1	vidyut:ADita~ADA(verb,1)
AGUrR	1	dcs:AGUrRita~AGUrRita(ADJ,1)
AGozi	1	vidyut:AGozayanta~AGuz(verb,1)
AGrA	1	vidyut:AjiGrat~AGrA(verb,1)
AIr	1	vidyut:eriRam~AIri(noun,1)
AKyA	10	dcs:AKyA~AKya(ADJ,7);dcs:AKyAtA~AKyAtf(NOUN,4);dcs:AKyAta~AKyAta(NOUN,6);dcs:AKyAtaM~AKyAta(NOUN,1);dcs:AKyAtam~AKyAta(NOUN,3)
AM	1	dcs:Am~Am(NOUN,7)
ANgirasa	6	dcs:ANgirasI~ANgirasI(NOUN,1);dcs:ANgirasa~ANgirasa(ADJ,4);dcs:ANgirasaH~ANgirasa(ADJ,5);dcs:ANgirasaM~ANgirasa(ADJ,5);dcs:ANgirasam~ANgirasa(ADJ,6)
ASAsi	1	vidyut:ASAsyamAna~ASAs(noun,2)
ASaMs	1	vidyut:ASaMsat~ASaMs(verb,1)
ASaNk	2	dcs:ASaNke~ASaNkA(NOUN,2);vidyut:ASaNkin~ASaNki(noun,2)
ASas	1	vidyut:ASasti~ASaMs(noun,6)
ASaya	2	dcs:ASaya~ASay(VERB,1);dcs:ASaye~ASI(VERB,8)
AScarya	3	dcs:AScarya~AScarya(ADJ,25);dcs:AScaryaM~AScarya(ADJ,12);dcs:AScaryam~AScarya(ADJ,18)
ASin	1	dcs:ASI~ASI(NOUN,12)
ASliz	1	dcs:ASlizwa~ASlizwa(NOUN,2)
ASrAvay	1	dcs:ASrAvya~ASrAvya(NOUN,1)
ASraya	2	dcs:ASraya~ASri(VERB,7);dcs:ASrayaH~ASri(VERB,2)
ASrezA	1	vidyut:ASreza~ASreza(noun,2)
ASri	1	dcs:ASrita~ASrita(NOUN,1)
ASu	2	dcs:ASu~ASu(ADJ,364);dcs:ASuH~aS(VERB,1)
ASva	2	vidyut:ASvAs~ASu(noun,8);vidyut:ASvAs~ASvAsi(noun,7)
ASvina	1	dcs:ASvinIH~ASvinI(NOUN,2)
ATarvaRa	3	dcs:ATarvaRa~ATarvaRa(ADJ,1);dcs:ATarvaRam~ATarvaRa(ADJ,4);dcs:ATarvaRena~ATarvaRa(NOUN,2)
AYjanAByaYjanA	1	vidyut:AYjanAByaYjana~AYjanAByaYjana(noun,2)
AYjana	2	dcs:AYjana~AYjana(ADJ,6);dcs:AYjanena~AYjana(NOUN,1)
Aas	2	vidyut:Asyad~as(verb,1);vidyut:Asyad~Aas(verb,1)
AbadDa	1	vidyut:AbadDAByAm~AbanD(noun,9)
AcAma	1	dcs:AcAma~Acam(VERB,5)
AcCedi	3	vidyut:AcCedi~AcCid(noun,3);vidyut:AcCedi~AcCid(verb,1);vidyut:AcCedi~AcCedi(verb,1)
AcCo	1	vidyut:AcCA~AcCAyi(noun,6)
Acakz	1	vidyut:Acakzam~Acakzi(noun,14)
